STAR:020,5,RUBV3V,RW04,FA204,UT,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I04,FA203,FA203,UT,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I04,FA203,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I04,FA204,FA204,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I04,FA204,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I04,FA205,FA205,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I04,FA205,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I04, ,FA202,UT,P,C,E  I, ,   ,IF, ,IAN,UT,P,I,      ,2207,0121,    ,    ,J,04000,03000,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I04, ,FA201,UT,P,C,E  F, ,   ,CF, ,IAN,UT,P,I,      ,2207,0061,0410,0060,G,03000,03000,     , ,   ,-300,   ,UTFA,UT,P,A, ,0,N,S;
APPCH:030,I,I04, ,RW04,UT,P,G,G  M, ,   ,CF, ,IAN,UT,P,I,      ,2207,0017,0410,0044, ,01601,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I04, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,0410,    ,+,02500,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:050,I,I04, ,FA203,UT,P,C,EE H,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:010,A,L04,FA203,FA203,UT,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L04,FA203,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L04,FA204,FA204,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L04,FA204,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L04,FA205,FA205,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L04,FA205,FA202,UT,P,C,EE B, ,010,TF, ,IAN,UT,P,I,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L04, ,FA202,UT,P,C,E  I, ,   ,IF, ,IAN,UT,P,I,      ,2207,0121,    ,    ,+,04000,     ,08000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L04, ,FA201,UT,P,C,E  F, ,   ,CF, ,IAN,UT,P,I,      ,2207,0061,0410,0060, ,03000,     ,     , ,   ,    ,   ,UTFA,UT,P,A, ,0,N,S;
APPCH:030,L,L04, ,RW04,UT,P,G,G  M, ,   ,CF, ,IAN,UT,P,I,      ,2207,0017,0410,0044, ,01601,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,L,L04, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,0410,    ,+,02500,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:050,L,L04, ,FA203,UT,P,C,EE H,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,220,    ,   , , , , , ,0,N,S;
APPCH:010,A,R04,FA203,FA203,UT,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R04,FA203,FA202,UT,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R04,FA204,FA204,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R04,FA204,FA202,UT,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R04,FA205,FA205,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R04,FA205,FA202,UT,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R04, ,FA202,UT,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R04, ,FA201,UT,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0410,0060, ,03000,     ,     , ,   ,    ,   ,UTFA,UT,P,A, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R04, ,RW04,UT,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0410,0044, ,01601,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R04, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,0410,    ,+,02500,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:050,R,R04, ,FA203,UT,P,C,EE H,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:010,A,R22,FA328,FA328,UT,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R22,FA328,FA327,UT,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,03300,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R22, ,FA327,UT,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,08000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R22, ,FA326,UT,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2210,0027, ,02800,     ,     , ,   ,    ,   ,UTFA,UT,P,A, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R22, ,RW22,UT,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2210,0037, ,01618,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R22, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,2210,    ,+,03600,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:050,R,R22, ,FA329,UT,P,C,EE H,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,220,    ,   , , , , , ,B,J,S;
RWY:RW04 ,     ,      ,01551, ,IAN ,1,   ;N40431364,E072170194,0984;
RWY:RW22 ,     ,      ,01568, ,    , ,   ;N40442154,E072183336,0000;
