SID:040,2,MAKI2F,RW31,MAKIX,UT,E,A,EE  , ,   ,CF, ,DSH,UT,D, ,      ,0580,0489,0010,0290,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MAKI2G,RW13,NU420,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,1031,0455,1330,0060,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,5,MAKI2G,RW13,NU421,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,MAKI2G,RW13,MAKIX,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MAKI2H,RW13, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1330,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,MAKI2H,RW13,RG,UT,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,MAKI2H,RW13,MAKIX,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,NESV2E,RW31,NU530,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,0919,0341,3130,0059,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,5,NESV2E,RW31,NU531,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,NESV2E,RW31,NESVA,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,NESV2F,RW31, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3130,    ,+,01300,     ,06000, ,   ,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,2,NESV2F,RW31,NU,UT,P,N,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,2,NESV2F,RW31, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,0080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NESV2F,RW31,NESVA,UT,E,A,EE  , ,   ,CF, ,DSH,UT,D, ,      ,0687,0712,0380,0390,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,NESV2G,RW13,NU420,UT,P,C,E   , ,   ,CF, ,DSH,UT,D, ,      ,1031,0455,1330,0060,+,01300,     ,06000,-,230,    ,   ,UTNU,UT,P,A, , , , ;
SID:020,5,NESV2G,RW13,NU421,UT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,NESV2G,RW13,NESVA,UT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
