SID:050,5,DODU6D,RW26,DODUR,UA,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SR6A,RW08, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0750,    ,+,03300,     ,06000, ,   ,    ,   ,UTTC,UT,P,A, , , , ;
SID:020,2,SR6A,RW08,TENBU,UT,P,C,E C ,R,   ,CF, ,SMK,UA,D, ,      ,1648,0596,1950,0050,+,05500,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,2,SR6A,RW08,ATMAT,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SR6A,RW08,ASNOV,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,SR6A,RW08,UTAGA,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,SR6A,RW08,SR,UT,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SR6B,RW26,CR,UT,P,N,EY  , ,   ,CF, ,SMK,UA,D, ,      ,1710,0519,2550,0030,+,03100,     ,06000, ,   ,    ,   ,UTTC,UT,P,A, , , , ;
SID:020,2,SR6B,RW26, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0750,    ,+,04000,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,2,SR6B,RW26,TENBU,UT,P,C,E C ,R,   ,CF, ,SMK,UA,D, ,      ,1648,0596,1900,0070,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SR6B,RW26,ATMAT,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,SR6B,RW26,ASNOV,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,SR6B,RW26,UTAGA,UT,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
